frame,t_s,true_angle_deg,n_features,n_rigid_bodies,rb_ids,n_joints,most_likely,prism_p,rev_p,rigid_p,discon_p,rev_joint_value_rad,prism_joint_value_m,rev_pos_x,rev_pos_y,rev_pos_z,rev_ori_x,rev_ori_y,rev_ori_z,rev_pos_world_x,rev_pos_world_y,rev_pos_world_z,rev_ori_world_x,rev_ori_world_y,rev_ori_world_z
42,1.4,16.2,200,2,0;2,1,JointType.Prismatic,0.80210942029953,7.438664642688039e-19,0.0,0.19789057970046997,0.05027423299402644,0.383016989311863,-0.23811377236646644,-2.3694610826587095,5.9249001214994585,-0.02514902880224798,-0.9350196140060445,-0.3537030502756392,-3.6704263159662713,2.0485813180746386,1.7223005622828313,0.06148854835498521,-0.06600333241549622,0.9959230484988518
43,1.4333333333333333,16.8,200,2,0;2,1,JointType.Prismatic,0.8021727800369263,7.3848058790289455e-19,0.0,0.19782719016075134,0.05291759273815476,0.4032170243051029,-0.2555663704446443,-2.367804208399832,5.921533618046935,-0.0244443102529905,-0.9369847526374503,-0.3485140585703705,-3.6762051369899367,2.031704903584923,1.7216196665259262,0.0571038170969386,-0.06256458752295133,0.9964059546495305
44,1.4666666666666666,17.4,200,2,0;2,1,JointType.Prismatic,0.8015608787536621,9.774247359334843e-19,0.0,0.19843913614749908,0.05558333940055073,0.4239482343763708,-0.2697628944661297,-2.3661848819682594,5.917962735833241,-0.02357026993408928,-0.9389043247930556,-0.343370224772228,-3.6801546166622505,2.017528547621739,1.7210303838333654,0.05285382369378802,-0.05900908370799372,0.9968572622802571
45,1.5,18.0,200,2,0;2,1,JointType.Prismatic,0.7986049652099609,9.825622513204746e-19,0.0,0.20139501988887787,0.05923874035091162,0.453316979451002,-0.27770375412537557,-2.3647575004989343,5.914438704352081,-0.021451389547356883,-0.940915909204044,-0.33796018950937845,-3.68098063026854,2.0087731456881994,1.7206131232775888,0.0490005631923241,-0.05424061101214646,0.9973248723078475
46,1.5333333333333334,18.6,200,2,0;2,1,JointType.Prismatic,0.7867315411567688,1.0635449910482177e-18,0.0,0.2132684886455536,0.06769596503103355,0.5255475304948112,-0.26482414667357224,-2.3640857411054244,5.9119299819544775,-0.01661887162329778,-0.94376596451009,-0.3301963315034071,-3.6721483204336205,2.0185003424078385,1.7206475299769555,0.044397894185707054,-0.045864164365945204,0.9979605730783598
47,1.5666666666666667,19.200000000000003,200,2,0;2,1,JointType.Prismatic,0.7671129107475281,1.5700053462378976e-18,0.0,0.23288705945014954,0.0819871911032531,0.6507656582543918,-0.20132735084052553,-2.364933230014464,5.913367395004207,-0.009255006391814312,-0.9483902802249314,-0.31697037910751763,-3.640982549243502,2.0738459937253646,1.7210730427900298,0.03616570125705709,-0.0323724370762636,0.9988213390643638
48,1.6,19.8,200,2,0;2,1,JointType.Prismatic,0.7289878726005554,3.517114061932595e-18,0.0,0.2710121273994446,0.10239511064516149,0.827082275533944,-0.05434514674855903,-2.3636275792992962,5.915744263871014,-0.003988581777564329,-0.9567899568310201,-0.29075259194493586,-3.5672932096259573,2.2010363509326982,1.7191712517043445,0.015242372344847183,-0.01374612637385575,0.9997893348576063
49,1.6333333333333333,20.4,200,2,0;2,1,JointType.Prismatic,0.6562151312828064,2.4275032862938513e-17,0.0,0.3437848687171936,0.12905261967781737,1.0398353328729797,0.17113364016588986,-2.349870849389837,5.89687725294802,-0.00762733207944083,-0.9722900269696415,-0.2336534340871619,-3.4329062141987294,2.3834098952374845,1.7110520851748183,-0.037420278950177965,0.013458925540365735,0.9992089771647319
50,1.6666666666666667,21.0,200,2,0;2,1,JointType.Prismatic,0.5683974027633667,7.07451129030093e-16,0.0,0.4316025674343109,0.14383303220028126,1.1264422630586917,0.34284766372611963,-2.331735862284531,5.823093789107696,-0.010400559246291545,-0.9872752365530381,-0.15868029385058197,-3.2796796882896015,2.4919160911678935,1.7136250957383548,-0.10428973648560286,0.05015442920388968,0.9932815230814451
51,1.7,21.599999999999998,200,2,0;2,1,JointType.Disconnected,0.48371177911758423,1.2009787932751922e-14,0.0,0.5162882208824158,0.16088332579160092,1.2094857116863718,0.47117780027795686,-2.314154632604864,5.732031606876395,-0.011372698435384512,-0.9939497632216154,-0.10924527414031479,-3.1345440202255506,2.554724572472476,1.7214210657872124,-0.14719515792326723,0.07463953466584478,0.9862872428196618
52,1.7333333333333334,22.2,200,2,0;2,1,JointType.Disconnected,0.3994722366333008,2.1361196503050933e-13,0.0,0.6005277633666992,0.1847000820451737,1.32061946743625,0.5871443520611849,-2.2972228555479637,5.608335766087093,-0.011698236310112128,-0.9976262708551052,-0.06785996586330731,-2.9689303663388604,2.5909066986314895,1.7386999149468603,-0.18241838113084544,0.09529095159911664,0.9785924426281539
53,1.7666666666666666,22.8,200,2,0;2,1,JointType.Disconnected,0.31706902384757996,3.684844096518702e-12,0.0,0.6829310059547424,0.2141940156489316,1.4485198109564712,0.6994809517295728,-2.2836109971247462,5.443755515948569,-0.010082096810915653,-0.9991569071528483,-0.03979731413864287,-2.772165696645137,2.604261888888561,1.770271368888129,-0.20513669403372248,0.11073755918007223,0.9724485229294941
54,1.8,23.400000000000002,200,2,0;2,1,JointType.Disconnected,0.24211567640304565,5.737871983102494e-11,0.0,0.7578843235969543,0.24712535981852146,1.570488882297674,0.8031929176196407,-2.2728121119557803,5.2323378480251055,-0.006651979435118076,-0.999597194628009,-0.02758984707114434,-2.5417729696669586,2.5874939657157845,1.817263349139032,-0.21356875043782286,0.11976704789104627,0.9695587878390308
55,1.8333333333333333,24.0,200,2,0;2,1,JointType.Disconnected,0.18640896677970886,4.72366257220358e-10,0.0,0.8135910630226135,0.264887800922776,1.594049282227789,0.867024547306251,-2.2629292976094915,5.016401352427868,-0.0021052519486456146,-0.9992985970196874,-0.037388258968785365,-2.3283038454721834,2.5343825805435167,1.8663635617583891,-0.203071218522969,0.11879483274320857,0.971930999567927
56,1.8666666666666667,24.6,200,2,0;2,1,JointType.Disconnected,0.14688792824745178,1.8011189206745826e-09,0.0,0.8531121015548706,0.2754327763488288,1.5945493137078937,0.9040152028677784,-2.2490855626936814,4.843826273082945,0.0012166572379724019,-0.9983626318732933,-0.057188941450217086,-2.1635039424138633,2.4790686677623754,1.899881894219987,-0.18478747703605616,0.1117472164725212,0.9764047049975193
57,1.9,25.200000000000003,200,2,0;2,1,JointType.Disconnected,0.11868350952863693,5.812103687219405e-09,0.0,0.8813164830207825,0.2878225195323922,1.6051925578951884,0.926752144889276,-2.2348314652830426,4.686359684500957,0.0035608214358774683,-0.997148024094865,-0.07538659426190099,-2.018400636533401,2.418913849275972,1.9289043472617058,-0.16826472379877708,0.10461226204984996,0.980175115657266
58,1.9333333333333333,25.8,200,2,0;2,1,JointType.Disconnected,0.09966542571783066,1.606031752032777e-08,0.0,0.9003345370292664,0.30330013676661494,1.6318801833875713,0.9430891572387671,-2.2175029686102277,4.539974306637802,0.005130871463988991,-0.9956143578390743,-0.093411587197241,-1.8850188728362256,2.3583036665396064,1.9519600294958304,-0.15220713737858632,0.09685344482072158,0.9835915806661705
59,1.9666666666666666,26.4,200,2,0;2,1,JointType.Disconnected,0.08972011506557465,4.019898014462342e-08,0.0,0.9102798700332642,0.32209734316604405,1.6721518662501302,0.9565677296817208,-2.195547520895751,4.400016720788538,0.006156066329828677,-0.9937665561062271,-0.11131098244158805,-1.7573358709933364,2.2977668399348534,1.9688177606958517,-0.13645944661952197,0.08864507188073231,0.9866716123713876
60,2.0,27.0,200,2,0;2,1,JointType.Disconnected,0.08872690051794052,9.27561387698006e-08,0.0,0.9112730026245117,0.3437376952035527,1.7213421704182645,0.968764219929894,-2.1681863850944185,4.265249479547687,0.006738932833934029,-0.991665331004999,-0.1286641289054789,-1.6333394501910887,2.2379379234378263,1.9790639218016524,-0.1213308539460757,0.08029116852239504,0.9893594655826691
61,2.033333333333333,27.599999999999998,200,2,0;2,1,JointType.Disconnected,0.09346102923154831,1.964047697811111e-07,0.0,0.9065387845039368,0.36761035129901537,1.7762231800395272,0.9806501947861264,-2.135111723286358,4.138327808999002,0.007044694907216339,-0.9895008866624248,-0.14435500534425336,-1.5146539980487614,2.1809183501358707,1.981681519384114,-0.107703231078329,0.07251070331680215,0.9915352802194134
62,2.066666666666667,28.200000000000003,200,2,0;2,1,JointType.Disconnected,0.09700560569763184,3.797982515152398e-07,0.0,0.9029940366744995,0.39267894628210276,1.8319433363539226,0.992985369092018,-2.0968430082209264,4.020736729467279,0.007146443398301577,-0.9872366744372415,-0.15909958200086766,-1.402238291343727,2.128165399533475,1.976767442451375,-0.09493893548976673,0.06500808970274653,0.99335821675832
63,2.1,28.8,200,2,0;2,1,JointType.Disconnected,0.09227406978607178,6.673164989479119e-07,0.0,0.9077252745628357,0.4175728984349536,1.8848836116280798,1.005745224913962,-2.054586084519045,3.914819920926739,0.007090855911595735,-0.9849003738839384,-0.17297679984818617,-1.2983226670834354,2.0809821729090032,1.9648461164909623,-0.08295525471580056,0.05778830755789477,0.9948763426801498
64,2.1333333333333333,29.4,200,2,0;2,1,JointType.Disconnected,0.07766731828451157,1.0710065225794096e-06,0.0,0.9223316311836243,0.44137736807377853,1.9338477313682685,1.0187934985166127,-2.009969651736448,3.822643213151615,0.006957042163678246,-0.9825799303194247,-0.18571020461409063,-1.2050636883072672,2.0404975752016075,1.9469243643274363,-0.07196058277867207,0.05106791948785415,0.996099263188833
65,2.1666666666666665,29.999999999999996,200,2,0;2,1,JointType.Disconnected,0.06116581708192825,1.5217119653243572e-06,0.0,0.9388326406478882,0.45436502570603043,1.9446164134915545,1.0280870840524252,-1.9707885664686657,3.75039242053659,0.006647681915128553,-0.9804061227987656,-0.19687468781904635,-1.1314623896645823,2.0073768745970737,1.9288253798822488,-0.0623865847382076,0.04499131048447884,0.9970374596902525
